Order_ID,Date,Product,Category,Quantity,Unit_Price,City,Sales_Channel,Revenue
85,2026-02-21,Keyboard,Accessories,1.0,1729.0,Bengaluru,Online,1729.0
86,2026-04-15,Monitor,Electronics,5.0,23473.0,Delhi,Store,117365.0
87,2026-06-26,Headphones,Accessories,4.0,1571.0,Delhi,Online,6284.0
88,2026-08-12,Laptop,Electronics,5.0,64566.0,Hyderabad,Store,322830.0
89,2026-07-08,Keyboard,Accessories,7.0,2756.0,Mumbai,Online,19292.0
90,2026-09-19,Tablet,Electronics,8.0,21968.0,Hyderabad,Online,175744.0
91,2026-03-03,Headphones,Accessories,2.0,6918.0,Mumbai,Online,13836.0
92,2026-08-28,Tablet,Electronics,7.0,33532.0,Delhi,Online,234724.0
93,2026-02-25,Keyboard,Accessories,2.0,1540.0,Coimbatore,Online,3080.0
94,2026-06-12,Headphones,Accessories,3.0,3657.0,Mumbai,Store,10971.0
95,2026-07-20,Smartphone,Electronics,7.0,59682.0,Coimbatore,Store,417774.0
96,2026-01-26,Headphones,Accessories,3.0,4764.0,Mumbai,Online,14292.0
97,2026-07-23,Monitor,Electronics,3.0,28936.0,Hyderabad,Online,86808.0
98,2026-06-19,Tablet,Electronics,4.0,18989.0,Hyderabad,Online,75956.0
99,2026-04-20,Laptop,Electronics,7.0,62988.0,Hyderabad,Store,440916.0
100,2026-01-10,Monitor,Electronics,4.0,28560.0,Mumbai,Online,114240.0
101,2026-04-05,Keyboard,Accessories,6.0,4203.0,Delhi,Online,25218.0
102,2026-08-03,Keyboard,Accessories,5.0,3574.0,Bengaluru,Store,17870.0
103,2026-09-04,Monitor,Electronics,7.0,16665.0,Mumbai,Online,116655.0
104,2026-01-20,Monitor,Electronics,5.0,23449.0,Delhi,Online,117245.0
105,2026-07-04,Keyboard,Accessories,4.0,3275.0,Bengaluru,Online,13100.0
106,2026-08-12,Laptop,Electronics,5.0,77284.0,Coimbatore,Store,386420.0
107,2026-01-23,Headphones,Accessories,3.0,5008.0,Hyderabad,Store,15024.0
108,2026-06-02,Headphones,Accessories,8.0,6617.0,Mumbai,Online,52936.0
109,2026-06-08,Smartphone,Electronics,2.0,21007.0,Bengaluru,Store,42014.0
110,2026-01-09,Smartphone,Electronics,2.0,28576.0,Bengaluru,Store,57152.0
111,2026-04-19,Keyboard,Accessories,5.0,921.0,Hyderabad,Online,4605.0
112,2026-08-15,Smartphone,Electronics,5.0,91279.5,Hyderabad,Store,456397.5
113,2026-09-10,Keyboard,Accessories,2.0,1155.0,Mumbai,Online,2310.0
114,2026-02-11,Laptop,Electronics,8.0,71320.0,Delhi,Store,570560.0
115,2026-09-20,Laptop,Electronics,3.0,63023.0,Mumbai,Online,189069.0
116,2026-07-11,Monitor,Electronics,2.0,15487.0,Mumbai,Online,30974.0
117,2026-03-22,Headphones,Accessories,2.0,6448.0,Mumbai,Online,12896.0
118,2026-01-19,Laptop,Electronics,2.0,51109.0,Delhi,Store,102218.0
119,2026-05-12,Tablet,Electronics,2.0,39717.0,Chennai,Store,79434.0
120,2026-09-12,Keyboard,Accessories,4.0,1686.0,Chennai,Online,6744.0
121,2026-03-09,Keyboard,Accessories,4.0,2990.0,Coimbatore,Online,11960.0
122,2026-03-24,Tablet,Electronics,6.0,21388.0,Coimbatore,Online,128328.0
123,2026-05-24,Laptop,Electronics,4.0,69654.0,Hyderabad,Store,278616.0
124,2026-05-15,Keyboard,Accessories,2.0,1207.0,Coimbatore,Online,2414.0
125,2026-07-04,Headphones,Accessories,8.0,5197.0,Hyderabad,Store,41576.0
126,2026-04-10,Headphones,Accessories,5.0,5909.0,Bengaluru,Store,29545.0
127,2026-03-13,Tablet,Electronics,5.0,12506.0,Delhi,Online,62530.0
128,2026-02-28,Keyboard,Accessories,6.0,953.0,Hyderabad,Store,5718.0
129,2026-06-06,Headphones,Accessories,7.0,1943.0,Delhi,Online,13601.0
130,2026-07-17,Monitor,Electronics,6.0,27296.0,Chennai,Online,163776.0
131,2026-02-17,Tablet,Electronics,6.0,23018.0,Delhi,Store,138108.0
132,2026-04-06,Tablet,Electronics,6.0,27484.0,Delhi,Store,164904.0
133,2026-06-28,Monitor,Electronics,2.0,26497.0,Coimbatore,Online,52994.0
134,2026-01-12,Smartphone,Electronics,8.0,45731.0,Delhi,Online,365848.0
135,2026-02-20,Tablet,Electronics,8.0,15728.0,Delhi,Store,125824.0
136,2026-08-17,Headphones,Accessories,8.0,4684.0,Bengaluru,Online,37472.0
137,2026-04-23,Headphones,Accessories,2.0,5133.0,Mumbai,Online,10266.0
138,2026-01-26,Keyboard,Accessories,3.0,4148.0,Coimbatore,Online,12444.0
139,2026-03-11,Laptop,Electronics,6.0,51193.0,Chennai,Store,307158.0
140,2026-09-13,Monitor,Electronics,3.0,18144.0,Coimbatore,Online,54432.0
141,2026-06-10,Smartphone,Electronics,2.0,58939.0,Bengaluru,Store,117878.0
142,2026-02-17,Tablet,Electronics,8.0,21015.0,Delhi,Store,168120.0
143,2026-03-24,Laptop,Electronics,6.0,85503.0,Mumbai,Online,513018.0
144,2026-04-18,Headphones,Accessories,6.0,4638.0,Bengaluru,Online,27828.0
145,2026-09-17,Headphones,Accessories,4.0,4782.0,Mumbai,Store,19128.0
146,2026-02-10,Smartphone,Electronics,3.0,18419.0,Chennai,Store,55257.0
147,2026-06-01,Tablet,Electronics,8.0,40670.0,Mumbai,Online,325360.0
148,2026-06-04,Headphones,Accessories,6.0,4071.0,Coimbatore,Online,24426.0
149,2026-08-20,Smartphone,Electronics,3.0,33800.0,Chennai,Online,101400.0
150,2026-05-04,Laptop,Electronics,5.0,59133.0,Chennai,Store,295665.0
151,2026-09-19,Headphones,Accessories,8.0,5888.0,Bengaluru,Store,47104.0
152,2026-02-17,Tablet,Electronics,7.0,35122.0,Hyderabad,Online,245854.0
153,2026-05-24,Keyboard,Accessories,1.0,3969.0,Chennai,Online,3969.0
154,2026-01-12,Laptop,Electronics,6.0,60802.0,Delhi,Online,364812.0
155,2026-02-23,Monitor,Electronics,3.0,12418.0,Mumbai,Online,37254.0
156,2026-07-27,Tablet,Electronics,4.0,14746.0,Delhi,Online,58984.0
157,2026-06-09,Tablet,Electronics,1.0,30750.0,Chennai,Online,30750.0
158,2026-06-26,Headphones,Accessories,7.0,2530.0,Delhi,Online,17710.0
159,2026-02-03,Laptop,Electronics,7.0,50172.0,Hyderabad,Online,351204.0
160,2026-08-02,Tablet,Electronics,8.0,39925.0,Coimbatore,Online,319400.0
161,2026-09-26,Keyboard,Accessories,7.0,4127.0,Coimbatore,Store,28889.0
162,2026-04-25,Laptop,Electronics,3.0,84817.0,Coimbatore,Online,254451.0
163,2026-06-15,Tablet,Electronics,7.0,22055.0,Chennai,Store,154385.0
164,2026-03-16,Smartphone,Electronics,6.0,35603.0,Delhi,Online,213618.0
165,2026-04-04,Keyboard,Accessories,2.0,3139.0,Bengaluru,Online,6278.0
166,2026-09-18,Headphones,Accessories,3.0,6470.0,Hyderabad,Online,19410.0
167,2026-04-26,Smartphone,Electronics,3.0,48341.0,Mumbai,Online,145023.0
168,2026-05-13,Tablet,Electronics,6.0,20504.0,Coimbatore,Online,123024.0
169,2026-02-15,Keyboard,Accessories,7.0,3397.0,Mumbai,Store,23779.0
170,2026-01-27,Tablet,Electronics,3.0,23925.0,Chennai,Store,71775.0
171,2026-09-10,Smartphone,Electronics,5.0,25614.0,Chennai,Online,128070.0
172,2026-03-19,Smartphone,Electronics,5.0,55961.0,Delhi,Store,279805.0
173,2026-05-21,Smartphone,Electronics,6.0,17699.0,Bengaluru,Store,106194.0
174,2026-04-26,Headphones,Accessories,1.0,6258.0,Coimbatore,Online,6258.0
175,2026-08-15,Tablet,Electronics,8.0,15926.0,Bengaluru,Online,127408.0
176,2026-06-17,Keyboard,Accessories,3.0,4066.0,Delhi,Online,12198.0
177,2026-02-02,Tablet,Electronics,4.0,29529.0,Hyderabad,Online,118116.0
178,2026-03-16,Keyboard,Accessories,7.0,3361.0,Delhi,Online,23527.0
179,2026-04-07,Headphones,Accessories,5.0,4221.0,Delhi,Online,21105.0
180,2026-07-05,Laptop,Electronics,1.0,63438.0,Hyderabad,Online,63438.0
