Order_ID,Date,Product,Category,Quantity,Unit_Price,City,Sales_Channel
53,2026-04-09,Headphones,Accessories,1.0,4432.0,Mumbai,Online
54,2026-03-20,Laptop,Electronics,7.0,67028.0,Delhi,Online
55,2026-01-09,Headphones,Accessories,1.0,2111.0,Mumbai,Online
56,2026-02-16,Smartphone,Electronics,8.0,37118.0,Chennai,Store
57,2026-04-07,Laptop,Electronics,6.0,59694.0,Chennai,Store
58,2026-05-25,Smartphone,Electronics,4.0,46035.0,Hyderabad,Store
59,2026-07-13,Keyboard,Accessories,2.0,1010.0,Coimbatore,Store
60,2026-01-12,Laptop,Electronics,4.0,51678.0,Delhi,Online
61,2026-02-14,Monitor,Electronics,6.0,24062.0,Hyderabad,Online
62,2026-07-27,Monitor,Electronics,3.0,23232.0,Coimbatore,Store
63,2026-07-11,Tablet,Electronics,6.0,30279.0,Chennai,Online
64,2026-05-18,Tablet,Electronics,3.0,35253.0,Chennai,Store
65,2026-08-15,Smartphone,Electronics,2.0,62190.0,Chennai,Online
66,2026-09-17,Tablet,Electronics,4.0,27945.0,Hyderabad,Online
67,2026-04-04,Monitor,Electronics,6.0,16237.0,Coimbatore,Store
68,2026-05-24,Tablet,Electronics,2.0,24133.0,Delhi,Store
69,2026-05-01,Keyboard,Accessories,5.0,3756.0,Coimbatore,Store
70,2026-08-04,Smartphone,Electronics,5.0,18573.0,Chennai,Store
71,2026-08-04,Tablet,Electronics,8.0,34328.0,Chennai,Online
72,2026-05-03,Headphones,Accessories,2.0,2242.0,Bengaluru,Online
73,2026-08-10,Keyboard,Accessories,7.0,3916.0,Delhi,Online
74,2026-02-06,Tablet,Electronics,1.0,18503.0,Bengaluru,Store
75,2026-01-08,Keyboard,Accessories,2.0,4649.0,Hyderabad,Online
76,2026-02-18,Monitor,Electronics,8.0,21930.0,Bengaluru,Store
77,2026-02-15,Tablet,Electronics,3.0,22873.0,Coimbatore,Online
78,2026-01-14,Monitor,Electronics,7.0,27596.0,Coimbatore,Online
79,2026-01-25,Keyboard,Accessories,5.0,969.0,Bengaluru,Online
80,2026-08-12,Keyboard,Accessories,8.0,4828.0,Mumbai,Online
81,2026-07-27,Tablet,Electronics,2.0,38977.0,Delhi,Online
82,2026-01-22,Headphones,Accessories,2.0,1949.0,Delhi,Online
83,2026-08-25,Headphones,Accessories,1.0,6100.0,Chennai,Store
84,2026-04-23,Tablet,Electronics,,43766.0,Bengaluru,Online
85,2026-02-21,Keyboard,Accessories,1.0,1729.0,Bengaluru,Online
86,2026-04-15,Monitor,Electronics,5.0,23473.0,Delhi,Store
87,2026-06-26,Headphones,Accessories,4.0,1571.0,Delhi,Online
88,2026-08-12,Laptop,Electronics,5.0,64566.0,Hyderabad,Store
89,2026-07-08,Keyboard,Accessories,7.0,2756.0,Mumbai,Online
90,2026-09-19,Tablet,Electronics,8.0,21968.0,Hyderabad,Online
91,2026-03-03,Headphones,Accessories,2.0,6918.0,Mumbai,Online
92,2026-08-28,Tablet,Electronics,7.0,33532.0,Delhi,Online
93,2026-02-25,Keyboard,Accessories,2.0,1540.0,Coimbatore,Online
94,2026-06-12,Headphones,Accessories,3.0,3657.0,Mumbai,Store
95,2026-07-20,Smartphone,Electronics,7.0,59682.0,Coimbatore,Store
96,2026-01-26,Headphones,Accessories,3.0,4764.0,Mumbai,Online
97,2026-07-23,Monitor,Electronics,3.0,28936.0,Hyderabad,Online
98,2026-06-19,Tablet,Electronics,4.0,18989.0,Hyderabad,Online
99,2026-04-20,Laptop,Electronics,7.0,62988.0,Hyderabad,Store
100,2026-01-10,Monitor,Electronics,4.0,28560.0,Mumbai,Online
101,2026-04-05,Keyboard,Accessories,6.0,4203.0,Delhi,Online
102,2026-08-03,Keyboard,Accessories,5.0,3574.0,Bengaluru,Store
103,2026-09-04,Monitor,Electronics,7.0,16665.0,Mumbai,Online
104,2026-01-20,Monitor,Electronics,5.0,23449.0,Delhi,Online
105,2026-07-04,Keyboard,Accessories,4.0,3275.0,Bengaluru,Online
106,2026-08-12,Laptop,Electronics,5.0,77284.0,Coimbatore,Store
107,2026-01-23,Headphones,Accessories,3.0,5008.0,Hyderabad,Store
108,2026-06-02,Headphones,Accessories,8.0,6617.0,Mumbai,Online
109,2026-06-08,Smartphone,Electronics,2.0,21007.0,Bengaluru,Store
110,2026-01-09,Smartphone,Electronics,2.0,28576.0,Bengaluru,Store
111,2026-04-19,Keyboard,Accessories,5.0,921.0,Hyderabad,Online
112,2026-08-15,Smartphone,Electronics,5.0,250000.0,Hyderabad,Store
113,2026-09-10,Keyboard,Accessories,2.0,1155.0,Mumbai,Online
114,2026-02-11,Laptop,Electronics,8.0,71320.0,Delhi,Store
115,2026-09-20,Laptop,Electronics,3.0,63023.0,Mumbai,Online
116,2026-07-11,Monitor,Electronics,2.0,15487.0,Mumbai,Online
117,2026-03-22,Headphones,Accessories,2.0,6448.0,Mumbai,Online
118,2026-01-19,Laptop,Electronics,2.0,51109.0,Delhi,Store
119,2026-05-12,Tablet,Electronics,2.0,39717.0,Chennai,Store
120,2026-09-12,Keyboard,Accessories,4.0,1686.0,Chennai,Online
121,2026-03-09,Keyboard,Accessories,4.0,2990.0,Coimbatore,Online
122,2026-03-24,Tablet,Electronics,6.0,21388.0,Coimbatore,Online
123,2026-05-24,Laptop,Electronics,4.0,69654.0,Hyderabad,Store
124,2026-05-15,Keyboard,Accessories,2.0,1207.0,Coimbatore,Online
125,2026-07-04,Headphones,Accessories,8.0,5197.0,Hyderabad,Store
126,2026-04-10,Headphones,Accessories,5.0,5909.0,Bengaluru,Store
127,2026-03-13,Tablet,Electronics,5.0,12506.0,Delhi,
128,2026-02-28,Keyboard,Accessories,6.0,953.0,Hyderabad,Store
129,2026-06-06,Headphones,Accessories,7.0,1943.0,Delhi,Online
130,2026-07-17,Monitor,Electronics,6.0,27296.0,Chennai,Online
131,2026-02-17,Tablet,Electronics,6.0,23018.0,Delhi,Store
132,2026-04-06,Tablet,Electronics,6.0,27484.0,Delhi,Store
133,2026-06-28,Monitor,Electronics,2.0,26497.0,Coimbatore,Online
134,2026-01-12,Smartphone,Electronics,8.0,45731.0,Delhi,Online
135,2026-02-20,Tablet,Electronics,8.0,15728.0,Delhi,Store
136,2026-08-17,Headphones,Accessories,8.0,4684.0,Bengaluru,Online
137,2026-04-23,Headphones,Accessories,2.0,5133.0,Mumbai,Online
138,2026-01-26,Keyboard,Accessories,3.0,4148.0,Coimbatore,Online
139,2026-03-11,Laptop,Electronics,6.0,51193.0,Chennai,Store
140,2026-09-13,Monitor,Electronics,3.0,18144.0,Coimbatore,Online
141,2026-06-10,Smartphone,Electronics,2.0,58939.0,Bengaluru,Store
142,2026-02-17,Tablet,Electronics,8.0,21015.0,Delhi,Store
143,2026-03-24,Laptop,Electronics,6.0,85503.0,Mumbai,Online
144,2026-04-18,Headphones,Accessories,6.0,4638.0,Bengaluru,Online
145,2026-09-17,Headphones,Accessories,4.0,4782.0,Mumbai,Store
146,2026-02-10,Smartphone,Electronics,3.0,18419.0,Chennai,Store
147,2026-06-01,Tablet,Electronics,8.0,40670.0,Mumbai,Online
148,2026-06-04,Headphones,Accessories,6.0,4071.0,Coimbatore,Online
149,2026-08-20,Smartphone,Electronics,3.0,33800.0,Chennai,Online
150,2026-05-04,Laptop,Electronics,5.0,59133.0,Chennai,Store
151,2026-09-19,Headphones,Accessories,8.0,5888.0,Bengaluru,Store
152,2026-02-17,Tablet,Electronics,7.0,35122.0,Hyderabad,Online
153,2026-05-24,Keyboard,Accessories,1.0,3969.0,Chennai,Online
154,2026-01-12,Laptop,Electronics,6.0,60802.0,Delhi,Online
155,2026-02-23,Monitor,Electronics,3.0,12418.0,Mumbai,Online
156,2026-07-27,Tablet,Electronics,4.0,14746.0,Delhi,Online
157,2026-06-09,Tablet,Electronics,1.0,30750.0,Chennai,Online
158,2026-06-26,Headphones,Accessories,7.0,2530.0,Delhi,Online
159,2026-02-03,Laptop,Electronics,7.0,50172.0,Hyderabad,Online
160,2026-08-02,Tablet,Electronics,8.0,39925.0,Coimbatore,Online
161,2026-09-26,Keyboard,Accessories,7.0,4127.0,Coimbatore,Store
162,2026-04-25,Laptop,Electronics,3.0,84817.0,Coimbatore,Online
163,2026-06-15,Tablet,Electronics,7.0,22055.0,Chennai,Store
164,2026-03-16,Smartphone,Electronics,6.0,35603.0,Delhi,Online
165,2026-04-04,Keyboard,Accessories,2.0,3139.0,Bengaluru,Online
166,2026-09-18,Headphones,Accessories,3.0,6470.0,Hyderabad,Online
167,2026-04-26,Smartphone,Electronics,3.0,48341.0,Mumbai,Online
168,2026-05-13,Tablet,Electronics,6.0,20504.0,Coimbatore,Online
169,2026-02-15,Keyboard,Accessories,7.0,3397.0,Mumbai,Store
170,2026-01-27,Tablet,Electronics,3.0,23925.0,Chennai,Store
171,2026-09-10,Smartphone,Electronics,5.0,25614.0,Chennai,Online
172,2026-03-19,Smartphone,Electronics,5.0,55961.0,Delhi,Store
173,2026-05-21,Smartphone,Electronics,6.0,17699.0,Bengaluru,Store
174,2026-04-26,Headphones,Accessories,1.0,6258.0,Coimbatore,Online
175,2026-08-15,Tablet,Electronics,8.0,15926.0,Bengaluru,Online
176,2026-06-17,Keyboard,Accessories,3.0,4066.0,Delhi,Online
177,2026-02-02,Tablet,Electronics,4.0,29529.0,Hyderabad,Online
178,2026-03-16,Keyboard,Accessories,7.0,3361.0,Delhi,Online
179,2026-04-07,Headphones,Accessories,5.0,4221.0,Delhi,Online
180,2026-07-05,Laptop,Electronics,1.0,63438.0,Hyderabad,Online
16,2026-09-25,Smartphone,Electronics,3.0,46148.0,Coimbatore,Store
43,2026-07-26,Keyboard,Accessories,5.0,3150.0,Delhi,Store
91,2026-03-03,Headphones,Accessories,2.0,6918.0,Mumbai,Online
